Date,City,Team1,Team2,Venue,Winner
2017-04-23,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders
2017-04-24,Mumbai,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant
2017-04-26,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders
2017-04-27,Bangalore,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions
2017-04-28,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders
2017-04-28,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad
2017-04-29,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
2017-04-29,Rajkot,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium,No Result
2017-04-30,Chandigarh,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
2017-04-30,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2017-05-01,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians
2017-05-01,Pune,Rising Pune Supergiant,Gujarat Lions,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
2017-05-02,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils
2017-05-03,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens,Rising Pune Supergiant
2017-05-04,Delhi,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,Delhi Daredevils
2017-05-05,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab
2017-05-06,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant
2017-05-06,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians
2017-05-07,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders
2017-05-07,Chandigarh,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions
2017-05-08,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad
2017-05-09,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab
2017-05-10,Kanpur,Gujarat Lions,Delhi Daredevils,Green Park,Delhi Daredevils
2017-05-11,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab
2017-05-12,Delhi,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,Delhi Daredevils
2017-05-13,Kanpur,Gujarat Lions,Sunrisers Hyderabad,Green Park,Sunrisers Hyderabad
2017-05-13,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians
2017-05-14,Pune,Rising Pune Supergiant,Kings XI Punjab,Maharashtra Cricket Association Stadium,Rising Pune Supergiant
2017-05-14,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore
2017-05-16,Mumbai,Mumbai Indians,Rising Pune Supergiant,Wankhede Stadium,Rising Pune Supergiant
2017-05-17,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders
2017-05-19,Bangalore,Mumbai Indians,Kolkata Knight Riders,M Chinnaswamy Stadium,Mumbai Indians
2017-05-21,Hyderabad,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
2018-04-07,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings
2018-04-08,Chandigarh,Delhi Daredevils,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2018-04-08,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders
2018-04-09,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2018-04-10,Chennai,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings
2018-04-11,Jaipur,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals
2018-04-12,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2018-04-13,Bengaluru,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2018-04-14,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils
2018-04-14,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad
2018-04-15,Bengaluru,Rajasthan Royals,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Rajasthan Royals
2018-04-15,Chandigarh,Kings XI Punjab,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2018-04-16,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders
2018-04-17,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians
2018-04-18,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders
2018-04-19,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2018-04-20,Pune,Chennai Super Kings,Rajasthan Royals,Maharashtra Cricket Association Stadium,Chennai Super Kings
2018-04-21,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab
2018-04-21,Bengaluru,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2018-04-22,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings
2018-04-22,Jaipur,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals
2018-04-23,Delhi,Kings XI Punjab,Delhi Daredevils,Arun Jaitley Stadium,Kings XI Punjab
2018-04-24,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad
2018-04-25,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadium,Chennai Super Kings
2018-04-26,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2018-04-27,Delhi,Delhi Daredevils,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi Daredevils
2018-04-28,Pune,Chennai Super Kings,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians
2018-04-29,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Sunrisers Hyderabad
2018-04-29,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,M.Chinnaswamy Stadium,Kolkata Knight Riders
2018-04-30,Pune,Chennai Super Kings,Delhi Daredevils,Maharashtra Cricket Association Stadium,Chennai Super Kings
2018-05-01,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2018-05-02,Delhi,Delhi Daredevils,Rajasthan Royals,Arun Jaitley Stadium,Delhi Daredevils
2018-05-03,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders
2018-05-04,Indore,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians
2018-05-05,Pune,Royal Challengers Bangalore,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings
2018-05-05,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2018-05-06,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians
2018-05-06,Indore,Rajasthan Royals,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab
2018-05-07,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2018-05-08,Jaipur,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals
2018-05-09,Kolkata,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians
2018-05-10,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad
2018-05-11,Jaipur,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals
2018-05-12,Indore,Kolkata Knight Riders,Kings XI Punjab,Holkar Cricket Stadium,Kolkata Knight Riders
2018-05-12,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore
2018-05-13,Pune,Sunrisers Hyderabad,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings
2018-05-13,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals
2018-05-14,Indore,Kings XI Punjab,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore
2018-05-15,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders
2018-05-16,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians
2018-05-17,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2018-05-18,Delhi,Delhi Daredevils,Chennai Super Kings,Arun Jaitley Stadium,Delhi Daredevils
2018-05-19,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals
2018-05-19,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Kolkata Knight Riders
2018-05-20,Delhi,Delhi Daredevils,Mumbai Indians,Arun Jaitley Stadium,Delhi Daredevils
2018-05-20,Pune,Kings XI Punjab,Chennai Super Kings,Maharashtra Cricket Association Stadium,Chennai Super Kings
2018-05-22,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings
2018-05-23,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders
2018-05-25,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad
2018-05-27,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings
2019-03-23,Chennai,Royal Challengers Bangalore,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings
2019-03-24,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders
2019-03-24,Mumbai,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Delhi Capitals
2019-03-25,Jaipur,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab
2019-03-26,Delhi,Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings
2019-03-27,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders
2019-03-28,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Mumbai Indians
2019-03-29,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2019-03-30,Chandigarh,Mumbai Indians,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2019-03-30,Delhi,Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,No Result
2019-03-31,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2019-03-31,Chennai,Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,Chennai Super Kings
2019-04-01,Chandigarh,Kings XI Punjab,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2019-04-02,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals
2019-04-03,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians
2019-04-04,Delhi,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad
2019-04-05,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,M.Chinnaswamy Stadium,Kolkata Knight Riders
2019-04-06,Chennai,Chennai Super Kings,Kings XI Punjab,MA Chidambaram Stadium,Chennai Super Kings
2019-04-06,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians
2019-04-07,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,M.Chinnaswamy Stadium,Delhi Capitals
2019-04-07,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders
2019-04-08,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2019-04-09,Chennai,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings
2019-04-10,Mumbai,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai Indians
2019-04-11,Jaipur,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings
2019-04-12,Kolkata,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Delhi Capitals
2019-04-13,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals
2019-04-13,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore
2019-04-14,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings
2019-04-14,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Delhi Capitals
2019-04-15,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai Indians
2019-04-16,Chandigarh,Kings XI Punjab,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2019-04-17,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2019-04-18,Delhi,Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,Mumbai Indians
2019-04-19,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore
2019-04-20,Jaipur,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals
2019-04-20,Delhi,Kings XI Punjab,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals
2019-04-21,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2019-04-21,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2019-04-22,Jaipur,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals
2019-04-23,Chennai,Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,Chennai Super Kings
2019-04-24,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2019-04-25,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals
2019-04-26,Chennai,Mumbai Indians,Chennai Super Kings,MA Chidambaram Stadium,Mumbai Indians
2019-04-27,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals
2019-04-28,Delhi,Delhi Capitals,Royal Challengers Bangalore,Arun Jaitley Stadium,Delhi Capitals
2019-04-28,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders
2019-04-29,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
2019-04-30,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,M.Chinnaswamy Stadium,No Result
2019-05-01,Chennai,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,Chennai Super Kings
2019-05-02,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,No Result
2019-05-03,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,Kolkata Knight Riders
2019-05-04,Delhi,Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals
2019-05-04,Bengaluru,Sunrisers Hyderabad,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore
2019-05-05,Chandigarh,Chennai Super Kings,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab
2019-05-05,Mumbai,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai Indians
2019-05-07,Chennai,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,Mumbai Indians
2019-05-08,Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals
2019-05-10,Visakhapatnam,Delhi Capitals,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings
2019-05-12,Hyderabad,Mumbai Indians,Chennai Super Kings,Rajiv Gandhi International Stadium,Mumbai Indians
2020-09-19,Abu Dhabi,Mumbai Indians,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings
2020-09-20,,Delhi Capitals,Kings XI Punjab,Dubai International Cricket Stadium,No Result
2020-10-21,Abu Dhabi,Kolkata Knight Riders,Royal Challengers Bangalore,Sheikh Zayed Stadium,Royal Challengers Bangalore
2020-11-03,,Mumbai Indians,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sunrisers Hyderabad
2020-09-22,,Rajasthan Royals,Chennai Super Kings,Sharjah Cricket Stadium,Rajasthan Royals
2020-10-24,Abu Dhabi,Kolkata Knight Riders,Delhi Capitals,Sheikh Zayed Stadium,Kolkata Knight Riders
2020-10-24,,Kings XI Punjab,Sunrisers Hyderabad,Dubai International Cricket Stadium,Kings XI Punjab
2020-10-28,Abu Dhabi,Royal Challengers Bangalore,Mumbai Indians,Sheikh Zayed Stadium,Mumbai Indians
2020-10-09,,Delhi Capitals,Rajasthan Royals,Sharjah Cricket Stadium,Delhi Capitals
2020-10-07,Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,Sheikh Zayed Stadium,Kolkata Knight Riders
2020-10-31,,Royal Challengers Bangalore,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sunrisers Hyderabad
2020-10-01,Abu Dhabi,Mumbai Indians,Kings XI Punjab,Sheikh Zayed Stadium,Mumbai Indians
2020-09-30,,Kolkata Knight Riders,Rajasthan Royals,Dubai International Cricket Stadium,Kolkata Knight Riders
2020-11-02,Abu Dhabi,Royal Challengers Bangalore,Delhi Capitals,Sheikh Zayed Stadium,Delhi Capitals
2020-11-01,Abu Dhabi,Kings XI Punjab,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings
2020-10-11,,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,Rajasthan Royals
2020-09-23,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Sheikh Zayed Stadium,Mumbai Indians
2020-10-17,,Chennai Super Kings,Delhi Capitals,Sharjah Cricket Stadium,Delhi Capitals
2020-09-24,,Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,Kings XI Punjab
2020-10-06,Abu Dhabi,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium,Mumbai Indians
2020-10-18,Abu Dhabi,Kolkata Knight Riders,Sunrisers Hyderabad,Sheikh Zayed Stadium,No Result
2020-10-04,,Kings XI Punjab,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings
2020-10-03,Abu Dhabi,Rajasthan Royals,Royal Challengers Bangalore,Sheikh Zayed Stadium,Royal Challengers Bangalore
2020-10-03,,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,Delhi Capitals
2020-10-02,,Sunrisers Hyderabad,Chennai Super Kings,Dubai International Cricket Stadium,Sunrisers Hyderabad
2020-10-18,,Mumbai Indians,Kings XI Punjab,Dubai International Cricket Stadium,No Result
2020-10-22,,Rajasthan Royals,Sunrisers Hyderabad,Dubai International Cricket Stadium,Sunrisers Hyderabad
2020-10-05,,Delhi Capitals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Delhi Capitals
2020-10-26,,Kolkata Knight Riders,Kings XI Punjab,Sharjah Cricket Stadium,Kings XI Punjab
2020-10-23,,Chennai Super Kings,Mumbai Indians,Sharjah Cricket Stadium,Mumbai Indians
2020-10-17,,Rajasthan Royals,Royal Challengers Bangalore,Dubai International Cricket Stadium,Royal Challengers Bangalore
2020-10-10,Abu Dhabi,Kolkata Knight Riders,Kings XI Punjab,Sheikh Zayed Stadium,Kolkata Knight Riders
2020-10-27,,Sunrisers Hyderabad,Delhi Capitals,Dubai International Cricket Stadium,Sunrisers Hyderabad
2020-10-10,,Royal Challengers Bangalore,Chennai Super Kings,Dubai International Cricket Stadium,Royal Challengers Bangalore
2020-10-16,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Sheikh Zayed Stadium,Mumbai Indians
2020-09-27,,Kings XI Punjab,Rajasthan Royals,Sharjah Cricket Stadium,Rajasthan Royals
2020-10-13,,Chennai Super Kings,Sunrisers Hyderabad,Dubai International Cricket Stadium,Chennai Super Kings
2020-10-11,Abu Dhabi,Delhi Capitals,Mumbai Indians,Sheikh Zayed Stadium,Mumbai Indians
2020-11-01,,Kolkata Knight Riders,Rajasthan Royals,Dubai International Cricket Stadium,Kolkata Knight Riders
2020-10-15,,Royal Challengers Bangalore,Kings XI Punjab,Sharjah Cricket Stadium,Kings XI Punjab
2020-09-29,Abu Dhabi,Sunrisers Hyderabad,Delhi Capitals,Sheikh Zayed Stadium,Sunrisers Hyderabad
2020-10-19,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals
2020-09-21,,Royal Challengers Bangalore,Sunrisers Hyderabad,Dubai International Cricket Stadium,Royal Challengers Bangalore
2020-10-31,,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,Mumbai Indians
2020-10-29,,Kolkata Knight Riders,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings
2020-10-30,Abu Dhabi,Kings XI Punjab,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals
2020-10-04,,Mumbai Indians,Sunrisers Hyderabad,Sharjah Cricket Stadium,Mumbai Indians
2020-09-25,,Delhi Capitals,Chennai Super Kings,Dubai International Cricket Stadium,Delhi Capitals
2020-10-12,,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,Royal Challengers Bangalore
2020-10-25,Abu Dhabi,Mumbai Indians,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals
2020-10-08,,Sunrisers Hyderabad,Kings XI Punjab,Dubai International Cricket Stadium,Sunrisers Hyderabad
2020-10-14,,Delhi Capitals,Rajasthan Royals,Dubai International Cricket Stadium,Delhi Capitals
2020-10-25,,Royal Challengers Bangalore,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings
2020-09-26,Abu Dhabi,Sunrisers Hyderabad,Kolkata Knight Riders,Sheikh Zayed Stadium,Kolkata Knight Riders
2020-10-20,,Delhi Capitals,Kings XI Punjab,Dubai International Cricket Stadium,Kings XI Punjab
2020-09-28,,Royal Challengers Bangalore,Mumbai Indians,Dubai International Cricket Stadium,No Result
2020-11-05,,Mumbai Indians,Delhi Capitals,Dubai International Cricket Stadium,Mumbai Indians
2020-11-06,Abu Dhabi,Royal Challengers Bangalore,Sunrisers Hyderabad,Sheikh Zayed Stadium,Sunrisers Hyderabad
